"StageRank","Stage","Rider","Team","RiderCountry","StageGap","StageTime","OverallRank","OverallGap","OverallTime"
57,1,"BOHLI, Tom ","BMC Racing Team","SUI",0,13821,59,10,13821
58,1,"EARLE, Nathan ","UniSA-Australia","AUS",0,13821,60,10,13821
59,1,"PORTE, Richie ","BMC Racing Team","AUS",0,13821,61,10,13821
60,1,"BOARO, Manuele ","Bahrain - Merida","ITA",0,13821,62,10,13821
61,1,"MORI, Manuele ","UAE Team Emirates","ITA",0,13821,63,10,13821
62,1,"EG, Niklas ","Trek - Segafredo","DEN",0,13821,64,10,13821
63,1,"MACHADO, Tiago ","Team Katusha-Alpecin","POR",0,13821,65,10,13821
64,1,"VANDENBERGH, Stijn ","Ag2R La Mondiale","BEL",0,13821,66,10,13821
65,1,"GERRANS, Simon ","BMC Racing Team","AUS",0,13821,67,10,13821
66,1,"GUERREIRO, Ruben ","Trek - Segafredo","POR",0,13821,68,10,13821
67,1,"BAK YTTING, Lars ","Lotto Soudal","DEN",0,13821,69,10,13821
68,1,"ARASHIRO, Yukiya ","Bahrain - Merida","JPN",0,13821,70,10,13821
69,1,"AGNOLI, Valerio ","Bahrain - Merida","ITA",0,13821,71,10,13821
70,1,"DAVIES, Scott ","Team Dimension Data for Qhubeka","GBR",0,13821,72,10,13821
71,1,"LADAGNOUS, Matthieu ","FDJ","FRA",0,13821,73,10,13821
72,1,"POZZOVIVO, Domenico ","Bahrain - Merida","ITA",0,13821,74,10,13821
73,1,"DEVENYNS, Dries ","Quick - Step Floors","BEL",0,13821,75,10,13821
74,1,"MORKOV, Michael ","Quick - Step Floors","DEN",0,13821,76,10,13821
75,1,"MATOS, Nuno ","Movistar Team","POR",0,13821,77,10,13821
76,1,"SOLER, Marc ","Movistar Team","ESP",0,13821,78,10,13821
77,1,"HANSEN, Adam ","Lotto Soudal","AUS",0,13821,79,10,13821
78,1,"DLAMINI, Nicholas ","Team Dimension Data for Qhubeka","RSA",0,13821,5,6,13817
79,1,"GONÇALVES, José ","Team Katusha-Alpecin","POR",0,13821,80,10,13821
80,1,"MORTON, Lachlan ","Team Dimension Data for Qhubeka","AUS",0,13821,81,10,13821
81,1,"O'CONNOR, Ben ","Team Dimension Data for Qhubeka","AUS",0,13821,82,10,13821
82,1,"IZAGUIRRE, Gorka ","Bahrain - Merida","ESP",0,13821,83,10,13821
83,1,"FERRARI, Roberto ","UAE Team Emirates","ITA",0,13821,84,10,13821
84,1,"MAS NICOLAU, Enric ","Quick - Step Floors","ESP",0,13821,85,10,13821
85,1,"VALGREN ANDERSEN, Michael ","Astana Pro Team","Den",0,13821,86,10,13821
86,1,"DIDIER, Laurent ","Trek - Segafredo","LUX",0,13821,87,10,13821
87,1,"KOCHETKOV, Pavel ","Team Katusha-Alpecin","RUS",0,13821,88,10,13821
88,1,"GASTAUER, Ben ","Ag2R La Mondiale","LUX",0,13821,89,10,13821
89,1,"DENNIS, Rohan ","BMC Racing Team","AUS",0,13821,90,10,13821
90,1,"LAMMERTINK, Maurits ","Team Katusha-Alpecin","NED",0,13821,91,10,13821
91,1,"CLARKE, William ","Team EF Education First-Drapac p/b Cannondale","AUS",0,13821,3,4,13815
92,1,"CASTRILLO, Jaime ","Movistar Team","ESP",0,13821,92,10,13821
93,1,"DE KORT, Koen ","Trek - Segafredo","NED",0,13821,93,10,13821
94,1,"OLIVEIRA, Nelson ","Movistar Team","POR",0,13821,94,10,13821
95,1,"SÜTTERLIN, Jasha ","Movistar Team","GER",0,13821,95,10,13821
96,1,"SCULLY, Tom ","Team EF Education First-Drapac p/b Cannondale","NZL",0,13821,96,10,13821
97,1,"WYNANTS, Maarten ","Team Lotto NL - Jumbo","NED",0,13821,97,10,13821
98,1,"MORENO, Daniel ","Team EF Education First-Drapac p/b Cannondale","ESP",0,13821,98,10,13821
99,1,"PUCCIO, Salvatore ","Team Sky","ITA",0,13821,99,10,13821
100,1,"PORTER, Alex ","UniSA-Australia","AUS",0,13821,100,10,13821
101,1,"MEYER, Cam ","Mitchelton-SCOTT","AUS",0,13821,101,10,13821
102,1,"DEMPSTER, Zak ","UniSA-Australia","AUS",0,13821,102,10,13821
103,1,"DOULL, Owain ","Team Sky","GBR",0,13821,103,10,13821
104,1,"ROE, Tim ","UniSA-Australia","AUS",0,13821,104,10,13821
105,1,"DE GENDT, Thomas ","Lotto Soudal","BEL",0,13821,105,10,13821
106,1,"BONO, Matteo ","UAE Team Emirates","ITA",0,13821,106,10,13821
107,1,"BOWDEN, Scott ","UniSA-Australia","AUS",0,13821,107,10,13821
108,1,"GATTO, Oscar ","Astana Pro Team","ITA",0,13821,108,10,13821
109,1,"SCOTSON, Miles ","BMC Racing Team","AUS",0,13821,109,10,13821
110,1,"DIBBEN, Jonathan ","Team Sky","GBR",0,13821,110,10,13821
111,1,"KORSÆTH, Truls ","Astana Pro Team","NOR",0,13821,111,10,13821
112,1,"CAPECCHI, Eros ","Quick - Step Floors","ITA",0,13821,112,10,13821
113,1,"KENNAUGH, Peter ","BORA - hansgrohe","GBR",0,13821,113,10,13821
114,1,"VENTER, Jaco ","Team Dimension Data for Qhubeka","RSA",0,13821,114,10,13821
115,1,"LEEZER, Thomas ","Team Lotto NL - Jumbo","NED",0,13821,115,10,13821
116,1,"TEUNISSEN, Mike ","Team Sunweb","NED",16,13837,117,26,13837
117,1,"HOWSON, Damien ","Mitchelton-SCOTT","AUS",18,13839,118,28,13839
118,1,"HAYMAN, Mathew ","Mitchelton-SCOTT","AUS",18,13839,119,28,13839
119,1,"CIMOLAI, Davide ","FDJ","ITA",24,13845,120,34,13845
120,1,"WISNIOWSKI, Lukasz ","Team Sky","POL",24,13845,121,34,13845
121,1,"OSS, Daniel ","BORA - hansgrohe","ITA",24,13845,122,34,13845
122,1,"HAGA, Chad ","Team Sunweb","USA",26,13847,123,36,13847
123,1,"ARNDT, Nikias ","Team Sunweb","GER",28,13849,124,38,13849
124,1,"FRAME, Alex ","Trek - Segafredo","NZL",28,13849,125,38,13849
125,1,"BAUER, Jack ","Mitchelton-SCOTT","NZL",55,13876,126,65,13876
126,1,"SENECHAL, Florian ","Quick - Step Floors","FRA",55,13876,127,65,13876
127,1,"STORER, Michael ","Team Sunweb","AUS",108,13929,128,118,13929
128,1,"BODNAR, Maciej ","BORA - hansgrohe","POL",117,13938,129,127,13938
129,1,"WAGNER, Robert ","Team Lotto NL - Jumbo","GER",133,13954,130,143,13954
130,1,"BENNETT, Sam ","BORA - hansgrohe","IRL",216,14037,131,226,14037
131,1,"HOELGAARD, Daniel ","FDJ","NOR",216,14037,116,10,13821
1,2,"EWAN, Caleb ","Mitchelton-SCOTT","AUS",0,14635,1,0,28440
2,2,"IMPEY, Daryl ","Mitchelton-SCOTT","RSA",0,14635,2,10,28450
3,2,"MCCARTHY, Jay ","BORA - hansgrohe","AUS",0,14635,4,12,28452
4,2,"SAGAN, Peter ","BORA - hansgrohe","SVK",0,14635,3,12,28452
5,2,"HAAS, Nathan ","Team Katusha-Alpecin","AUS",0,14635,5,15,28455
6,2,"VIVIANI, Elia ","Quick - Step Floors","ITA",0,14635,7,16,28456
7,2,"IZAGUIRRE, Gorka ","Bahrain - Merida","ESP",0,14635,27,16,28456
8,2,"POZZOVIVO, Domenico ","Bahrain - Merida","ITA",0,14635,25,16,28456
9,2,"SANCHEZ, Luis León ","Astana Pro Team","ESP",0,14635,16,16,28456
10,2,"BARBERO, Carlos ","Movistar Team","ESP",0,14635,9,16,28456
11,2,"LATOUR, Pierre ","Ag2R La Mondiale","FRA",0,14635,18,16,28456
12,2,"ROUX, Anthony ","FDJ","FRA",0,14635,10,16,28456
13,2,"ULISSI, Diego ","UAE Team Emirates","ITA",0,14635,11,16,28456
14,2,"MORENO, Daniel ","Team EF Education First-Drapac p/b Cannondale","ESP",0,14635,37,16,28456
15,2,"DENNIS, Rohan ","BMC Racing Team","AUS",0,14635,34,16,28456
16,2,"ROE, Tim ","UniSA-Australia","AUS",0,14635,40,16,28456
17,2,"CONSONNI, Simone ","UAE Team Emirates","ITA",0,14635,8,16,28456
18,2,"IZAGIRRE, Ion ","Bahrain - Merida","ESP",0,14635,19,16,28456
19,2,"COSTA, Rui ","UAE Team Emirates","POR",0,14635,17,16,28456
20,2,"GESINK, Robert ","Team Lotto NL - Jumbo","BEL",0,14635,12,16,28456
21,2,"DEVENYNS, Dries ","Quick - Step Floors","BEL",0,14635,31,16,28456
22,2,"PORTE, Richie ","BMC Racing Team","AUS",0,14635,26,16,28456
23,2,"SLAGTER, Tom-Jelte ","Team Dimension Data for Qhubeka","NED",0,14635,22,16,28456
24,2,"GUERREIRO, Ruben ","Trek - Segafredo","POR",0,14635,28,16,28456
25,2,"BERNAL, Egan ","Team Sky","COL",0,14635,21,16,28456
26,2,"SOLER, Marc ","Movistar Team","ESP",0,14635,33,16,28456
27,2,"OOMEN, Sam ","Team Sunweb","NED",0,14635,13,16,28456
28,2,"VALGREN ANDERSEN, Michael ","Astana Pro Team","Den",0,14635,38,16,28456
29,2,"PREIDLER, Georg ","FDJ","AUT",0,14635,15,16,28456
30,2,"MAS NICOLAU, Enric ","Quick - Step Floors","ESP",0,14635,39,16,28456
31,2,"DAVIES, Scott ","Team Dimension Data for Qhubeka","GBR",0,14635,32,16,28456
32,2,"MEYER, Cam ","Mitchelton-SCOTT","AUS",0,14635,44,16,28456
33,2,"BENNETT, George ","Team Lotto NL - Jumbo","NZL",0,14635,14,16,28456
34,2,"EARLE, Nathan ","UniSA-Australia","AUS",0,14635,29,16,28456
35,2,"CHEREL, Mikael ","Ag2R La Mondiale","FRA",0,14635,20,16,28456
36,2,"HAMILTON, Christopher ","Team Sunweb","AUS",0,14635,23,16,28456
37,2,"CANTY, Brendan ","Team EF Education First-Drapac p/b Cannondale","AUS",0,14635,30,16,28456
38,2,"BAK YTTING, Lars ","Lotto Soudal","DEN",0,14635,36,16,28456
39,2,"RESTREPO, Jhonatan ","Team Katusha-Alpecin","COL",0,14635,6,15,28455
40,2,"TEUNISSEN, Mike ","Team Sunweb","NED",0,14635,53,32,28472
41,2,"CAPECCHI, Eros ","Quick - Step Floors","ITA",0,14635,47,16,28456
42,2,"EG, Niklas ","Trek - Segafredo","DEN",0,14635,35,16,28456
43,2,"FERNANDEZ, Ruben ","Movistar Team","ESP",0,14635,24,16,28456
44,2,"DOULL, Owain ","Team Sky","GBR",0,14635,46,16,28456
45,2,"GASTAUER, Ben ","Ag2R La Mondiale","LUX",0,14635,45,16,28456
46,2,"DIDIER, Laurent ","Trek - Segafredo","LUX",0,14635,43,16,28456
47,2,"O'CONNOR, Ben ","Team Dimension Data for Qhubeka","AUS",0,14635,41,16,28456
48,2,"MORTON, Lachlan ","Team Dimension Data for Qhubeka","AUS",0,14635,42,16,28456
49,2,"PUCCIO, Salvatore ","Team Sky","ITA",11,14646,49,27,28467
50,2,"DE VRESSE, Laurens ","Astana Pro Team","BEL",13,14648,50,29,28469
51,2,"HANSEN, Adam ","Lotto Soudal","AUS",13,14648,51,29,28469
52,2,"CLARKE, William ","Team EF Education First-Drapac p/b Cannondale","AUS",13,14648,48,17,28457
53,2,"ZAKHAROV, Artyom ","Astana Pro Team","KAZ",16,14651,52,32,28472
54,2,"WYNANTS, Maarten ","Team Lotto NL - Jumbo","NED",27,14662,54,43,28483
55,2,"MORI, Manuele ","UAE Team Emirates","ITA",32,14667,56,48,28488
56,2,"VANDENBERGH, Stijn ","Ag2R La Mondiale","BEL",32,14667,58,48,28488
57,2,"BEPPU, Fumiyuki ","Trek - Segafredo","JPN",32,14667,55,48,28488
58,2,"GERRANS, Simon ","BMC Racing Team","AUS",32,14667,59,48,28488
59,2,"BOHLI, Tom ","BMC Racing Team","SUI",32,14667,57,48,28488
60,2,"SCOTSON, Miles ","BMC Racing Team","AUS",32,14667,61,48,28488
61,2,"OLIVEIRA, Nelson ","Movistar Team","POR",32,14667,60,48,28488
62,2,"SÜTTERLIN, Jasha ","Movistar Team","GER",40,14675,63,56,28496
63,2,"OLIVIER, Daan ","Team Lotto NL - Jumbo","NED",40,14675,62,56,28496
64,2,"DE KORT, Koen ","Trek - Segafredo","NED",50,14685,64,66,28506
65,2,"MACHADO, Tiago ","Team Katusha-Alpecin","POR",54,14689,66,70,28510
66,2,"BEVIN, Patrick ","BMC Racing Team","NZL",54,14689,65,70,28510
67,2,"LEEZER, Thomas ","Team Lotto NL - Jumbo","NED",58,14693,67,74,28514
68,2,"VON HOFF, Steele ","UniSA-Australia","AUS",63,14698,68,79,28519
69,2,"CLARKE, Simon ","Team EF Education First-Drapac p/b Cannondale","AUS",64,14699,69,80,28520
70,2,"MATOS, Nuno ","Movistar Team","POR",64,14699,70,80,28520
71,2,"BATTAGLIN, Enrico ","Team Lotto NL - Jumbo","ITA",73,14708,71,89,28529
72,2,"ARNDT, Nikias ","Team Sunweb","GER",75,14710,72,119,28559
73,2,"HAYMAN, Mathew ","Mitchelton-SCOTT","AUS",102,14737,76,136,28576
74,2,"BAUER, Jack ","Mitchelton-SCOTT","NZL",102,14737,79,173,28613
75,2,"DEMPSTER, Zak ","UniSA-Australia","AUS",106,14741,73,122,28562
76,2,"MARCATO, Marco ","UAE Team Emirates","ITA",109,14744,74,125,28565
77,2,"BONO, Matteo ","UAE Team Emirates","ITA",109,14744,75,125,28565
78,2,"SCULLY, Tom ","Team EF Education First-Drapac p/b Cannondale","NZL",129,14764,77,145,28585
79,2,"WYSS, Danilo ","BMC Racing Team","SUI",138,14773,78,154,28594
80,2,"OSS, Daniel ","BORA - hansgrohe","ITA",163,14798,84,203,28643
81,2,"MORKOV, Michael ","Quick - Step Floors","DEN",163,14798,80,179,28619
82,2,"AGNOLI, Valerio ","Bahrain - Merida","ITA",166,14801,81,182,28622
83,2,"ARASHIRO, Yukiya ","Bahrain - Merida","JPN",166,14801,82,182,28622
84,2,"LAMMERTINK, Maurits ","Team Katusha-Alpecin","NED",183,14818,83,199,28639
85,2,"HOWSON, Damien ","Mitchelton-SCOTT","AUS",201,14836,87,235,28675
86,2,"EDMONDSON, Alexander ","Mitchelton-SCOTT","AUS",201,14836,85,217,28657
87,2,"GONÇALVES, José ","Team Katusha-Alpecin","POR",206,14841,86,222,28662
88,2,"HAGA, Chad ","Team Sunweb","USA",208,14843,93,250,28690
89,2,"DE GENDT, Thomas ","Lotto Soudal","BEL",226,14861,91,242,28682
90,2,"KOCHETKOV, Pavel ","Team Katusha-Alpecin","RUS",226,14861,90,242,28682
91,2,"MONTAGUTI, Mattéo ","Ag2R La Mondiale","ITA",226,14861,88,242,28682
92,2,"PETERS, Nans ","Ag2R La Mondiale","FRA",226,14861,89,242,28682
93,2,"GATTO, Oscar ","Astana Pro Team","ITA",226,14861,92,242,28682
94,2,"VENTER, Jaco ","Team Dimension Data for Qhubeka","RSA",315,14950,94,331,28771
95,2,"PORTER, Alex ","UniSA-Australia","AUS",337,14972,96,353,28793
96,2,"MINALI, Riccardo ","Astana Pro Team","ITA",337,14972,95,353,28793
97,2,"KENNAUGH, Peter ","BORA - hansgrohe","GBR",351,14986,97,367,28807
98,2,"STORER, Michael ","Team Sunweb","AUS",361,14996,106,485,28925
99,2,"DOCKER, Mitchell ","Team EF Education First-Drapac p/b Cannondale","AUS",361,14996,98,377,28817
100,2,"KORSÆTH, Truls ","Astana Pro Team","NOR",361,14996,99,377,28817
101,2,"LAWLESS, Christopher ","Team Sky","GBR",441,15076,101,457,28897
102,2,"WISNIOWSKI, Lukasz ","Team Sky","POL",441,15076,105,481,28921
103,2,"SABATINI, Fabio ","Quick - Step Floors","ITA",441,15076,103,457,28897
104,2,"GREIPEL, André ","Lotto Soudal","GER",441,15076,100,447,28887
105,2,"RENSHAW, Mark ","Team Dimension Data for Qhubeka","AUS",441,15076,102,457,28897
106,2,"DOMONT, Axel ","Ag2R La Mondiale","FRA",441,15076,104,457,28897
107,2,"SCHMIDT, Mads Würtz ","Team Katusha-Alpecin","DEN",511,15146,107,527,28967
108,2,"SIEBERG, Marcel ","Lotto Soudal","GER",595,15230,113,611,29051
109,2,"WAGNER, Robert ","Team Lotto NL - Jumbo","GER",595,15230,118,744,29184
110,2,"DUCHESNE, Antoine ","FDJ","CAN",595,15230,110,611,29051
111,2,"CASTRILLO, Jaime ","Movistar Team","ESP",595,15230,109,608,29048
112,2,"SELIG, Rüdiger ","BORA - hansgrohe","GER",595,15230,111,611,29051
113,2,"DLAMINI, Nicholas ","Team Dimension Data for Qhubeka","RSA",595,15230,108,607,29047
114,2,"SENECHAL, Florian ","Quick - Step Floors","FRA",595,15230,116,666,29106
115,2,"LADAGNOUS, Matthieu ","FDJ","FRA",595,15230,115,611,29051
116,2,"DEBUSSCHERE, Jens ","Lotto Soudal","BEL",595,15230,114,611,29051
117,2,"PEDERSEN, Mads ","Trek - Segafredo","DEN",595,15230,112,611,29051
118,2,"OWEN, Logan ","Team EF Education First-Drapac p/b Cannondale","USA",669,15304,117,685,29125
119,2,"BODNAR, Maciej ","BORA - hansgrohe","POL",669,15304,119,802,29242
120,2,"BAUHAUS, Phil ","Team Sunweb","GER",889,15524,121,905,29345
121,2,"FRAME, Alex ","Trek - Segafredo","NZL",889,15524,124,933,29373
122,2,"BOARO, Manuele ","Bahrain - Merida","ITA",889,15524,123,905,29345
123,2,"MORABITO, Steve ","FDJ","SUI",889,15524,122,905,29345
124,2,"BOWDEN, Scott ","UniSA-Australia","AUS",889,15524,120,902,29342
125,2,"BENNETT, Sam ","BORA - hansgrohe","IRL",889,15524,125,1121,29561
126,2,"FERRARI, Roberto ","UAE Team Emirates","ITA",1166,15801,126,1182,29622
127,2,"NAVARDAUSKAS, Ramunas ","Bahrain - Merida","LTU",1451,16086,127,1467,29907
128,2,"CIMOLAI, Davide ","FDJ","ITA",1451,16086,130,1491,29931
129,2,"WELSFORD, Sam ","UniSA-Australia","AUS",1451,16086,128,1467,29907
130,2,"DIBBEN, Jonathan ","Team Sky","GBR",1451,16086,129,1467,29907
1,3,"VIVIANI, Elia ","Quick - Step Floors","ITA",0,11080,2,10,39526
2,3,"BAUHAUS, Phil ","Team Sunweb","GER",0,11080,120,903,40419
3,3,"EWAN, Caleb ","Mitchelton-SCOTT","AUS",0,11080,1,0,39516
4,3,"CONSONNI, Simone ","UAE Team Emirates","ITA",0,11080,8,20,39536
5,3,"SAGAN, Peter ","BORA - hansgrohe","SVK",0,11080,5,16,39532
6,3,"CLARKE, Simon ","Team EF Education First-Drapac p/b Cannondale","AUS",0,11080,65,84,39600
7,3,"EDMONDSON, Alexander ","Mitchelton-SCOTT","AUS",0,11080,83,221,39737
8,3,"DEMPSTER, Zak ","UniSA-Australia","AUS",0,11080,70,126,39642
9,3,"DEVENYNS, Dries ","Quick - Step Floors","BEL",0,11080,19,20,39536
10,3,"MCCARTHY, Jay ","BORA - hansgrohe","AUS",0,11080,4,15,39531
11,3,"OSS, Daniel ","BORA - hansgrohe","ITA",0,11080,82,207,39723
12,3,"IZAGUIRRE, Gorka ","Bahrain - Merida","ESP",0,11080,17,20,39536
13,3,"GESINK, Robert ","Team Lotto NL - Jumbo","BEL",0,11080,9,20,39536
14,3,"SELIG, Rüdiger ","BORA - hansgrohe","GER",0,11080,108,615,40131
15,3,"PEDERSEN, Mads ","Trek - Segafredo","DEN",0,11080,109,615,40131
16,3,"SANCHEZ, Luis León ","Astana Pro Team","ESP",0,11080,12,20,39536
17,3,"MINALI, Riccardo ","Astana Pro Team","ITA",0,11080,89,357,39873
18,3,"RESTREPO, Jhonatan ","Team Katusha-Alpecin","COL",0,11080,7,19,39535
19,3,"IMPEY, Daryl ","Mitchelton-SCOTT","RSA",0,11080,3,14,39530
20,3,"HAAS, Nathan ","Team Katusha-Alpecin","AUS",0,11080,6,17,39533
21,3,"MARCATO, Marco ","UAE Team Emirates","ITA",0,11080,72,129,39645
22,3,"GUERREIRO, Ruben ","Trek - Segafredo","POR",0,11080,22,20,39536
23,3,"ROUX, Anthony ","FDJ","FRA",0,11080,10,20,39536
24,3,"ULISSI, Diego ","UAE Team Emirates","ITA",0,11080,11,20,39536
25,3,"COSTA, Rui ","UAE Team Emirates","POR",0,11080,14,20,39536
26,3,"DOCKER, Mitchell ","Team EF Education First-Drapac p/b Cannondale","AUS",0,11080,92,381,39897
27,3,"BENNETT, George ","Team Lotto NL - Jumbo","NZL",0,11080,13,20,39536
28,3,"IZAGIRRE, Ion ","Bahrain - Merida","ESP",0,11080,15,20,39536
29,3,"MORKOV, Michael ","Quick - Step Floors","DEN",0,11080,78,183,39699
30,3,"VON HOFF, Steele ","UniSA-Australia","AUS",0,11080,64,83,39599
31,3,"BEPPU, Fumiyuki ","Trek - Segafredo","JPN",0,11080,52,52,39568
32,3,"BAK YTTING, Lars ","Lotto Soudal","DEN",0,11080,30,20,39536
33,3,"GREIPEL, André ","Lotto Soudal","GER",0,11080,98,451,39967
34,3,"HANSEN, Adam ","Lotto Soudal","AUS",0,11080,49,33,39549
35,3,"PUCCIO, Salvatore ","Team Sky","ITA",0,11080,48,31,39547
36,3,"BERNAL, Egan ","Team Sky","COL",0,11080,18,20,39536
37,3,"POZZOVIVO, Domenico ","Bahrain - Merida","ITA",0,11080,25,20,39536
38,3,"CAPECCHI, Eros ","Quick - Step Floors","ITA",0,11080,41,20,39536
39,3,"RENSHAW, Mark ","Team Dimension Data for Qhubeka","AUS",0,11080,99,461,39977
40,3,"KORSÆTH, Truls ","Astana Pro Team","NOR",0,11080,93,381,39897
41,3,"TEUNISSEN, Mike ","Team Sunweb","NED",0,11080,50,36,39552
42,3,"CANTY, Brendan ","Team EF Education First-Drapac p/b Cannondale","AUS",0,11080,29,20,39536
43,3,"MORENO, Daniel ","Team EF Education First-Drapac p/b Cannondale","ESP",0,11080,34,20,39536
44,3,"DIDIER, Laurent ","Trek - Segafredo","LUX",0,11080,38,20,39536
45,3,"HAMILTON, Christopher ","Team Sunweb","AUS",0,11080,26,20,39536
46,3,"CHEREL, Mikael ","Ag2R La Mondiale","FRA",0,11080,21,20,39536
47,3,"PORTE, Richie ","BMC Racing Team","AUS",0,11080,27,20,39536
48,3,"WYSS, Danilo ","BMC Racing Team","SUI",0,11080,74,158,39674
49,3,"VALGREN ANDERSEN, Michael ","Astana Pro Team","Den",0,11080,35,20,39536
50,3,"EARLE, Nathan ","UniSA-Australia","AUS",0,11080,32,20,39536
51,3,"LATOUR, Pierre ","Ag2R La Mondiale","FRA",0,11080,23,20,39536
52,3,"SOLER, Marc ","Movistar Team","ESP",0,11080,33,20,39536
53,3,"LAMMERTINK, Maurits ","Team Katusha-Alpecin","NED",0,11080,81,203,39719
54,3,"LAWLESS, Christopher ","Team Sky","GBR",0,11080,100,461,39977
